,gradient_score
ACTR3B,0.012299529
ANLN,0.009491726
BAG1,0.008508064
BCL2,0.007841613
BIRC5,0.0077877473
BLVRA,0.0077759475
CCNB1,0.0070563084
CCNE1,0.007052596
CDC20,0.0069778957
CDC6,0.006966195
CDH3,0.006953341
CENPF,0.0068860096
CEP55,0.00686981
CXCL10,0.0064215204
CXXC5,0.00640399
EGFR,0.0051428163
ERBB2,0.005049146
ESR1,0.005027097
EXO1,0.005006655
FGFR4,0.0047890395
FOXC1,0.004722088
GPR160,0.0044663185
GRB7,0.00443194
KIF2C,0.0037383162
KRT14,0.0036826609
KRT17,0.0036809542
KRT5,0.0036734494
MAPT,0.0030691614
MDM2,0.0030317977
MELK,0.003010801
MIA,0.002976665
MKI67,0.002478162
MLPH,0.0024681143
MMP11,0.002463543
MYBL2,0.0023445652
MYC,0.0023430618
NAT1,0.0022917404
NDC80,0.0022657993
NUF2,0.0021055695
PGR,0.0017746855
PHGDH,0.0017650306
PTTG1,0.0014462459
RRM2,0.0010466422
SFRP1,0.0008865237
SLC39A6,0.0007481341
TMEM45B,8.537416e-05
TYMS,4.411383e-06
UBE2C,4.063476e-06
UBE2T,3.9420734e-06
