,gradient_score
ACTR3B,0.016273087
ANLN,0.011524366
BAG1,0.009983729
BCL2,0.008989484
BIRC5,0.008913632
BLVRA,0.008894852
CCNB1,0.007874054
CCNE1,0.0078679025
CDC20,0.007766519
CDC6,0.007749362
CDH3,0.0077309203
CENPF,0.0076378877
CEP55,0.0076147392
CXCL10,0.0070087127
CXXC5,0.0069852956
EGFR,0.0053742277
ERBB2,0.005256608
ESR1,0.005230036
EXO1,0.0052045393
FGFR4,0.0049410914
FOXC1,0.0048604826
GPR160,0.0045661274
GRB7,0.0045276633
KIF2C,0.0037388972
KRT14,0.0036776129
KRT17,0.0036756145
KRT5,0.0036666947
MAPT,0.003001874
MDM2,0.0029595022
MELK,0.0029386096
MIA,0.0029012428
MKI67,0.002362713
MLPH,0.0023525262
MMP11,0.002347749
MYBL2,0.0022272107
MYC,0.0022253501
NAT1,0.0021742827
NDC80,0.0021483465
NUF2,0.0019849706
PGR,0.0016576833
PHGDH,0.0016487979
PTTG1,0.0013437791
RRM2,0.0009655839
SFRP1,0.0008187476
SLC39A6,0.0006937826
TMEM45B,8.043173e-05
TYMS,5.266996e-06
UBE2C,4.862954e-06
UBE2T,4.7193416e-06
