,gradient_score
ACTR3B,0.015405303
ANLN,0.011579561
BAG1,0.010407735
BCL2,0.009654844
BIRC5,0.009599193
BLVRA,0.009585548
CCNB1,0.008819906
CCNE1,0.00881529
CDC20,0.008737414
CDC6,0.008724212
CDH3,0.00871001
CENPF,0.008638351
CEP55,0.008621158
CXCL10,0.008144472
CXXC5,0.008126265
EGFR,0.0067783133
ERBB2,0.006674124
ESR1,0.0066497326
EXO1,0.006626506
FGFR4,0.006385432
FOXC1,0.0063111973
GPR160,0.006034853
GRB7,0.005998229
KIF2C,0.0051978473
KRT14,0.005132353
KRT17,0.0051302575
KRT5,0.0051207067
MAPT,0.0043646973
MDM2,0.0043140515
MELK,0.004288184
MIA,0.0042420924
MKI67,0.0035687638
MLPH,0.0035551873
MMP11,0.0035489604
MYBL2,0.0033900603
MYC,0.0033877294
NAT1,0.0033184863
NDC80,0.0032836641
NUF2,0.0030623742
PGR,0.0026022966
PHGDH,0.0025892244
PTTG1,0.002137912
RRM2,0.0015599874
SFRP1,0.001326368
SLC39A6,0.001125623
TMEM45B,0.00012982705
TYMS,4.602128e-06
UBE2C,4.2698584e-06
UBE2T,4.150421e-06
