,gradient_score
ACTR3B,0.01624431
ANLN,0.011299394
BAG1,0.009777805
BCL2,0.0087810345
BIRC5,0.008707182
BLVRA,0.008689067
CCNB1,0.007665747
CCNE1,0.007659959
CDC20,0.007557942
CDC6,0.0075407503
CDH3,0.007522691
CENPF,0.007429984
CEP55,0.00740728
CXCL10,0.006801674
CXXC5,0.0067793177
EGFR,0.005190587
ERBB2,0.00507577
ESR1,0.0050490075
EXO1,0.0050237975
FGFR4,0.0047646454
FOXC1,0.004686209
GPR160,0.0043994384
GRB7,0.004361762
KIF2C,0.0035925678
KRT14,0.0035343717
KRT17,0.0035324541
KRT5,0.00352374
MAPT,0.002888983
MDM2,0.0028480915
MELK,0.0028269691
MIA,0.0027904797
MKI67,0.002274203
MLPH,0.002264331
MMP11,0.0022598023
MYBL2,0.0021420468
MYC,0.0021403462
NAT1,0.0020908022
NDC80,0.0020654723
NUF2,0.0019086533
PGR,0.001593589
PHGDH,0.0015847116
PTTG1,0.0012932137
RRM2,0.0009322294
SFRP1,0.00079016306
SLC39A6,0.000668964
TMEM45B,7.751678e-05
TYMS,4.914505e-06
UBE2C,4.554065e-06
UBE2T,4.4274343e-06
