,gradient_score
ACTR3B,0.0136378165
ANLN,0.009428321
BAG1,0.008101876
BCL2,0.0072498964
BIRC5,0.0071854927
BLVRA,0.007169935
CCNB1,0.00630915
CCNE1,0.006303769
CDC20,0.006221079
CDC6,0.006207031
CDH3,0.0061918865
CENPF,0.006112144
CEP55,0.0060931067
CXCL10,0.0056055277
CXXC5,0.0055873306
EGFR,0.0043098894
ERBB2,0.004217422
ESR1,0.004196592
EXO1,0.004176354
FGFR4,0.0039635096
FOXC1,0.0038992665
GPR160,0.0036651806
GRB7,0.0036347734
KIF2C,0.0029984463
KRT14,0.0029511529
KRT17,0.0029491847
KRT5,0.0029417395
MAPT,0.002417507
MDM2,0.0023843183
MELK,0.0023670327
MIA,0.0023356008
MKI67,0.0019076074
MLPH,0.0018989072
MMP11,0.0018952155
MYBL2,0.0017981331
MYC,0.0017969346
NAT1,0.0017551192
NDC80,0.0017345949
NUF2,0.0016017566
PGR,0.001339866
PHGDH,0.0013324957
PTTG1,0.0010846294
RRM2,0.00078020914
SFRP1,0.00066096097
SLC39A6,0.00056054187
TMEM45B,6.441174e-05
TYMS,4.6831146e-06
UBE2C,4.3189116e-06
UBE2T,4.18298e-06
