,shap_score
MMP11,0.008466861931047731
PHGDH,0.008030672939391081
FOXC1,0.007712707001530816
GPR160,0.007642625524486135
TMEM45B,0.006953929234054357
BLVRA,0.0068728252336498485
NUF2,0.006800750663465749
CENPF,0.006657582413623686
CEP55,0.006559634589880403
MLPH,0.006559410374859853
PGR,0.006023708538036132
TYMS,0.0058918202577942225
NDC80,0.005844892071408481
MKI67,0.005831012356917853
ACTR3B,0.005805637192139557
ANLN,0.005801878905010938
MAPT,0.005704640603170219
PTTG1,0.005660519742273884
CXXC5,0.005613539800165768
CCNB1,0.005328813567992086
UBE2C,0.005308746394184993
RRM2,0.005266566339791723
CCNE1,0.0052162663953132515
ERBB2,0.0050409496559860045
KIF2C,0.004921599217626138
EXO1,0.004742326664242569
MELK,0.004488584779132054
SFRP1,0.004211947892191148
UBE2T,0.004112370154299327
CDC6,0.004022113031501462
SLC39A6,0.003971150918570032
CDC20,0.003612897890714173
BCL2,0.003495080856730226
MIA,0.0033469651442095127
CXCL10,0.003337200385453709
ESR1,0.003265456677338463
MYBL2,0.0032205206787665475
NAT1,0.002847470011234421
BAG1,0.0028272930461494816
KRT17,0.0027788794796101968
MDM2,0.0027000833491874765
FGFR4,0.0026456968098322875
GRB7,0.002618390320886954
BIRC5,0.0025274617848149994
MYC,0.0024248520071354918
KRT14,0.0023594335972689784
KRT5,0.002192514327690631
EGFR,0.00137761691578131
CDH3,0.0009105065427155168
