,shap_score
NUF2,0.009732386705710638
CEP55,0.00952186830181212
TYMS,0.008886668354125105
KIF2C,0.00877395825292604
PTTG1,0.008651909723377926
CCNB1,0.008597736099321907
MELK,0.00854424168037582
MKI67,0.00845724234480727
EXO1,0.008148258707727507
CENPF,0.0081301342753477
PGR,0.008069238031687576
CDC6,0.007907938220171218
UBE2C,0.007837979182024668
RRM2,0.007531868649833129
BIRC5,0.0072421452466606695
NAT1,0.007211376557715532
PHGDH,0.007128343572077256
MAPT,0.007126358461084337
MMP11,0.007097851923482779
ANLN,0.007059917398407833
NDC80,0.006998267486672205
UBE2T,0.0069626258813570985
CDC20,0.006878306333696571
SLC39A6,0.006100857973606821
MYBL2,0.005963237378995956
FGFR4,0.004902548134509743
CCNE1,0.0047894848775369425
KRT14,0.004703959296215032
BAG1,0.0045189569532708695
KRT5,0.004339727624042888
MDM2,0.004231320618474088
GPR160,0.004112539962596529
ESR1,0.004026373175356923
KRT17,0.00396169913955291
CXXC5,0.003721919697653675
BCL2,0.003471085635577964
CXCL10,0.0034215407041700008
MLPH,0.0031544060891950387
SFRP1,0.0025998565975814403
BLVRA,0.002557375117158145
MIA,0.002516836616097251
GRB7,0.001354090706654043
TMEM45B,0.0011561804235560302
CDH3,0.0009029438265288903
ACTR3B,0.0008537929134103117
FOXC1,0.0006845552725902593
ERBB2,0.0006723556486607496
EGFR,0.0005696912986764002
MYC,0.0004201818460320972
