,shap_score
CDH3,0.013152885962568917
KRT17,0.010115153459672399
KRT5,0.009834651537843797
KRT14,0.008645130837855675
FGFR4,0.008623492267473054
MIA,0.008395968900089201
EGFR,0.007051312607064375
CEP55,0.005773637342556981
SFRP1,0.00562739004475965
BIRC5,0.004861277468257541
MAPT,0.004723588964949954
TMEM45B,0.0046454594890619205
ERBB2,0.004597329959982188
MMP11,0.004461764778405097
CENPF,0.004400593349732418
MKI67,0.004393728914237727
FOXC1,0.004392952500325009
TYMS,0.004353674783281747
PGR,0.004349920467348056
RRM2,0.0040151429092945
MYC,0.003941432101861153
EXO1,0.003913005897919958
PTTG1,0.0037315965572184417
UBE2C,0.003696033240117691
NDC80,0.0036848638695099467
GRB7,0.0035852571129613153
ANLN,0.0033746702831669584
CDC6,0.003170120250952202
NAT1,0.003127495409731118
NUF2,0.0030853833910740036
MDM2,0.0030459535775761992
ACTR3B,0.003025677233327251
ESR1,0.0028976883181872637
MELK,0.0028364415740465
KIF2C,0.0028213224654756175
CCNB1,0.0028180595506928086
CDC20,0.0025393557191395466
UBE2T,0.0024416613467632686
PHGDH,0.00221909499232531
CXXC5,0.002159831681126434
SLC39A6,0.0020752163044090166
MYBL2,0.001612705395782399
BAG1,0.0014379073335292203
BLVRA,0.0013211327449147436
BCL2,0.0010940336870306488
CCNE1,0.0009832857427554131
MLPH,0.0009633909985584665
CXCL10,0.0009411391475819819
GPR160,0.0006650362898073803
