,shap_score
KRT14,0.006747427309719001
TYMS,0.005369138653140482
NUF2,0.0051581518562171524
UBE2T,0.004646953564327205
MYC,0.004499793171337529
PTTG1,0.004491577084002607
MMP11,0.004375427769831575
EXO1,0.004232935172577723
KRT5,0.004144288240743421
CDH3,0.004142580774622262
MDM2,0.00405853086085628
CDC20,0.003998924112856628
CENPF,0.0037704565201304163
CDC6,0.0037047672398458076
NDC80,0.003697587900020949
BIRC5,0.0035417833765762907
KRT17,0.0034531192620548268
PGR,0.0034081599566499338
MIA,0.003369592084707662
CCNE1,0.003356613396618968
NAT1,0.003344502932115745
KIF2C,0.0032678911673063027
PHGDH,0.0031290553627201234
UBE2C,0.003071034338304912
BAG1,0.003062904688672319
MELK,0.003058023521923303
CCNB1,0.0028426400265590956
ANLN,0.0028261468919623667
FGFR4,0.0027574836037587147
RRM2,0.00251790067193447
CXCL10,0.00230575867855487
SFRP1,0.002269419213667856
ACTR3B,0.002010729256916033
CXXC5,0.0019331392369094091
MAPT,0.0017463284414860891
MYBL2,0.0017015415950112356
GPR160,0.001663933194309436
EGFR,0.0015059045299410379
ERBB2,0.001482870832426375
MLPH,0.0013791580488996813
CEP55,0.0013346170264854074
MKI67,0.0013018096302492843
ESR1,0.0012492199494076317
BCL2,0.001247926503765373
SLC39A6,0.0009880273927318495
TMEM45B,0.0009411901864927741
GRB7,0.0007934397414204319
FOXC1,0.0006685260050449671
BLVRA,0.0003719126266891748
